virus,env,assay,mean_eta
JRFL,wt,1,7
JRFL,wt,2,10
JRFL,wt,3,21
JRFL,wt,4,9
JRFL,V1V2,1,6
JRFL,V1V2,2,4
NL4-3,wt,1,22
NL4-3,wt,2,13
NL4-3,wt,3,12
NL4-3,wt,4,7
NL4-3,V1V2,1,19
NL4-3,V1V2,2,12
SF162,wt,1,10
SF162,wt,2,31
SF162,wt,3,7
SF162,V1V2,1,11
SF162,V1V2,2,29
P3N,wt,1,20
P3N,wt,2,32
P3N,wt,3,9
P3N,V1V2,1,22
P3N,V1V2,2,28
RHPA,wt,1,4
RHPA,wt,2,19
RHPA,wt,3,24
RHPA,wt,4,8
RHPA,V1V2,1,3
RHPA,V1V2,2,17
Rejo,wt,1,18
Rejo,wt,2,7
Rejo,wt,3,10
Rejo,wt,4,7
Rejo,V1V2,1,15
Rejo,V1V2,2,6
Ac10,wt,1,11
Ac10,wt,2,26
Ac10,wt,3,8
Ac10,V1V2,1,10
Ac10,V1V2,2,23
AK110,wt,1,17
AK110,wt,2,17
AK110,wt,3,11
AK110,V1V2,1,13
AK110,V1V2,2,14
Cap88,wt,1,12
Cap88,wt,2,5
Cap88,wt,3,8
Cap88,wt,4,4
Cap88,V1V2,1,11
Cap88,V1V2,2,4
ZM214,wt,1,8
ZM214,wt,2,7
ZM214,wt,3,5
ZM214,V1V2,1,5
ZM214,V1V2,2,6
BG505,wt,1,13
BG505,wt,2,6
esc54,wt,1,23
esc54,wt,2,15
esc54,wt,3,11
esc54,wt,4,8
Cap88K160N,wt,1,12
Cap88K160N,wt,2,5
Cap88K160N,wt,3,8
Cap88K160N,wt,4,4
JRFL_CT,wt,1,12
JRFL_CT,wt,2,17
JRFL_CT,wt,3,35
JRFL_CT,wt,4,15